ID,class, sampleid, microid, x, y, z, numcal, vol, compK, elongK, compM, minD, maxD, rmean, rstd, b1mean, b1std, b2mean, b2std, b3mean, b3std, r1, r2, r3, r4, surf, surfovervol,Angular Second Moment,Contrast,Correlation,Sum of Squares: Variance,Inverse Difference Moment,Sum Average,Sum Variance,Sum Entropy,Entropy,Difference Variance,Difference Entropy,Information Measure of Correlation 1,Information Measure of Correlation 2,Maximal Correlation Coefficient,Variance,Skewness,Kurtosis,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,SZE,LZE,GLN2,ZSN,ZP,LGZE,HGZE,SZLGE,SZHGE,LZLGE,LZHGE,GLV2,ZSV,Coarseness,Contrast2,Busyness,Complexity,Strength
1_ 07b00660__ mc-35-1,1, 07b00660_, mc-35-1,140,1737,715,3,7180,0.039123,3.80542,0.003795,32.502351,123.68509,80.091489,13.966514,38.444951,11.323334,17.619953,6.848805,13.314428,4.647137,2.083277,2.181899,1.323373,6.015391,3421,0.272872,0.00137694,43.42348976,0.840216754,135.7942868,0.171287653,176.1016366,499.7536573,6.324743817,9.849657818,0.000613455,3.767181357,-0.17645899,0.914720237,3.716696029,121.7582747,0.76867227,-0.186031254,0.917350552,1.436694934,0.019873518,0.806096019,0.88643982,0.004409743,1673.834052,0.003821121,1599.380597,0.007866424,2039.701332,0.003614654,6.0628E-06,0.600822244,1805.499157,0.011239751,0.337623782,0.227880664,0.002253521,2938.65577,0.001120918,1871.052208,9.876144557,414762.5696,1.57813E-05,1.6347E-07,0.000594698,0.077996587,0.636788564,8702.495834,7.999312033
1_ 07b00660__ mc-35-2,1, 07b00660_, mc-35-2,121,1672,716,3,1173,0.148813,2.041405,0.056787,13.440674,27.437857,78.511038,12.980059,36.117496,11.675591,16.260732,6.8462,11.397662,5.578617,2.173767,2.221148,1.426673,6.888346,607,0.334989,0.001783124,54.85651948,0.739466219,104.8951061,0.146437772,175.6037957,364.7239051,6.096182951,9.345174734,0.000609067,3.867808698,-0.210490593,0.939097601,2.401060405,170.8300806,0.455540309,-0.920942956,0.973970786,1.1177877,0.014438868,0.933782756,0.964198422,0.000316146,4868.286533,0.000308804,4720.488327,0.000349455,5528.997033,0.057460714,1.2248E-05,0.720169321,4.456937799,0.014752553,0.480163,0.603174603,0.000361804,4539.095096,0.000275997,3143.669144,0.001257604,25271.39653,0.007229959,2.63122E-06,0.011596897,0.189180016,0.016323826,8291.168342,37.93826179
1_ 07b00660__ mc-36-3,1, 07b00660_, mc-36-3,150,1711,813,3,124184,0.120551,2.858386,0.021815,62.466495,178.553331,88.434791,14.965097,39.261382,11.633519,17.230854,6.844692,12.913696,5.165279,2.252463,2.278551,1.334308,6.848139,15863,0.10915,0.001388597,25.97251393,0.911899444,147.7818603,0.226696151,186.4517492,565.1549272,6.544862495,9.842925296,0.00075585,3.430842557,-0.237446598,0.959244706,3.861338833,92.66007793,0.39388132,-0.411265279,0.903336498,1.531947228,0.019066017,0.777455963,0.867250221,0.005598533,2613.752098,0.004728676,2459.473991,0.011087793,3393.365281,0.004380071,5.10781E-06,0.590266797,19446.30854,0.009430118,0.326858337,0.185153365,0.00225024,4048.644391,0.00112464,2374.765716,126.7577895,3741230.037,2.41502E-06,3.95412E-08,9.83436E-05,0.110610904,2.899510906,9015.31122,1.745407446
1_ 07b01604__ mc-33-1,1, 07b01604_, mc-33-1,138,1473,1142,16,531,0.002953,2.954144,0.000842,29.033866,85.770228,72.30137,9.484168,36.305372,12.481198,15.343194,7.801226,12.248253,4.932017,1.991479,2.36622,1.252684,5.902994,1155,0.465351,0.003709895,30.13010756,0.751628565,60.28719396,0.20214152,161.4570931,211.0186683,5.526438854,8.446091991,0.000848747,3.46468979,-0.199844434,0.916151551,2.31962278,96.85244602,1.443426557,1.91708379,0.89618831,1.585506021,0.030301111,0.763142528,0.857743423,0.019897703,743.1126887,0.015607877,705.2116725,0.066601462,931.7283408,0.001821648,8.24658E-06,0.589787159,3681.38431,0.014095051,0.325913652,0.160329934,0.010965539,1681.626056,0.005096696,1049.816628,42.64920128,464337.7521,8.3415E-06,6.74062E-07,0.000743586,0.045273906,0.642721411,7490.190423,12.49632506
1_ 07b01604__ mc-33-2,1, 07b01604_, mc-33-2,133,1460,1160,16,269,0.001947,2.733608,0.000321,34.480339,94.255733,76.11093,13.541933,36.41784,12.351259,15.601255,8.176673,12.206933,5.34597,2.089935,2.334289,1.278065,6.235058,1876,0.437194,0.001940709,40.75529415,0.869853554,156.0485159,0.173181629,172.935516,583.4387694,6.235425494,9.454084155,0.000651167,3.701207448,-0.230161042,0.954392504,2.983067169,139.1837869,1.122416732,0.448016885,0.892629851,1.640430432,0.030762849,0.756328264,0.850790284,0.024811576,738.7517104,0.01907042,700.6201509,0.11027267,930.5885792,0.001286642,6.14617E-06,0.58489977,7799.272022,0.013719983,0.321186946,0.151281711,0.011796067,1793.792142,0.005612532,1136.999796,86.3667996,948822.976,4.54854E-06,4.90838E-07,0.00040184,0.036221843,0.981982771,9646.220582,10.10309088
1_ 07b01604__ mc-33-3,1, 07b01604_, mc-33-3,213,1481,1159,16,113,0.006082,2.149869,0.001672,18.945615,40.730585,73.357005,11.139693,38.558219,11.901134,16.344369,8.406373,12.628841,5.500246,1.9025,2.359113,1.29421,5.808689,667,0.4306,0.002487365,52.66178222,0.711496271,90.63476721,0.159126028,169.8813387,309.8772866,5.911389954,8.90931481,0.000646757,3.846487326,-0.236752818,0.952090852,1.991997798,172.3868883,0.680726644,-0.639627327,0.95991188,1.194912363,0.012443933,0.900267268,0.94407128,0.015487626,2620.756404,0.012004043,2528.182627,0.038833827,3044.367847,0.013739673,5.97989E-06,0.661435064,11.1387259,0.012405068,0.407023297,0.48133952,0.005063345,2811.784577,0.002544892,1894.998084,0.211088384,25943.48114,0.001576907,1.35075E-06,0.010675436,0.144805025,0.024906742,6702.072562,40.87913469
1_ 07b01604__ mc-34-4,1, 07b01604_, mc-34-4,100,1465,1180,16,2418,0.005891,2.120585,0.002048,49.838281,105.686327,99.464636,24.78733,34.826129,14.418248,13.255164,9.562601,9.368682,7.016006,2.856035,2.627363,1.414838,10.616716,4651,0.191699,0.000988006,45.31086946,0.944892515,412.8889664,0.203948747,217.019004,1606.244996,7.106795145,10.46998558,0.000554955,3.803404497,-0.294043842,0.984869052,4.178945641,201.3337569,-0.075794225,-1.32803095,0.900724709,1.70287874,0.021058876,0.772877877,0.853877544,0.030420576,2291.315925,0.020389566,2152.892802,0.243225763,3024.275826,0.00112173,2.65206E-06,0.62891887,6637.020301,0.00917414,0.36806874,0.209379318,0.011578857,3644.589695,0.00537653,2365.281774,77.62955924,1271862.138,5.87901E-06,1.50405E-07,0.000352088,0.107764669,1.330350071,12198.32876,9.974033469
1_ 07b01604__ mc-34-5,1, 07b01604_, mc-34-5,116,1452,1212,16,22682,0.094522,1.95487,0.032302,45.467452,88.88295,99.245188,24.705667,34.761105,14.663474,13.129186,9.908866,9.880495,7.360402,2.855064,2.647621,1.328798,10.044556,4650,0.154301,0.00087423,51.24267619,0.938296323,416.7849551,0.194315577,216.4883668,1615.897144,7.129765413,10.62497337,0.00051414,3.887709471,-0.27571232,0.981196485,4.279528889,192.0405912,-0.026359904,-1.310929847,0.916902863,1.784751332,0.012481978,0.807660219,0.860660054,0.029639515,3367.60111,0.0175555,3173.958247,0.423786022,4392.587181,0.001851438,1.5746E-06,0.643932971,1223.347736,0.008586755,0.38552368,0.286226898,0.009233693,4157.194377,0.004658748,2717.160884,15.70660849,783108.601,1.65959E-05,6.47928E-08,0.000689522,0.137620599,0.676617426,11068.00323,10.98242813
1_ 07b01604__ mc-44-1,1, 07b01604_, mc-44-1,148,1500,971,16,2439,0.184636,1.298678,0.140726,19.927119,25.878911,82.51649,15.417967,35.494507,12.747669,15.083274,7.827386,12.645046,5.067988,2.324768,2.353236,1.192821,6.525598,881,0.259423,0.001307323,48.54744249,0.841576979,153.2318771,0.156164529,182.7836493,564.3800659,6.405903662,9.781317558,0.00059786,3.823845424,-0.218062963,0.949696644,3.123474245,182.8299754,0.408870078,-0.980697916,0.972615576,1.126324449,0.012611753,0.930591944,0.962013295,0.000376367,5513.311155,0.000367866,5324.638615,0.000415787,6380.700987,0.045536771,8.59232E-06,0.700713727,5.588530466,0.013197672,0.45549569,0.574074074,0.0008279,4958.611111,0.000717838,3304.876102,0.001925134,40859.46523,0.003867926,1.38214E-06,0.008849801,0.154406531,0.016715371,9965.056189,40.78602473
1_ 07b01604__ mc-45-2,1, 07b01604_, mc-45-2,175,1533,1121,16,1663,0.005568,2.315865,0.001398,45.753296,105.958461,73.125526,9.99863,39.903317,10.88875,17.444731,7.967593,12.726727,5.297947,1.832568,2.287414,1.370716,5.745823,1765,0.35392,0.002719047,27.5151491,0.793796203,66.37336601,0.20053766,164.9635017,237.9783149,5.760673331,8.850475304,0.000873101,3.442009995,-0.179134572,0.901482944,2.812724219,119.6556009,0.930912536,0.169165413,0.923717516,1.397295146,0.019222521,0.819498185,0.89499315,0.011456872,1349.428889,0.009748409,1287.479787,0.021776575,1650.226837,0.005060992,8.41732E-06,0.577524587,583.6682243,0.0133301,0.314515733,0.244094862,0.005882422,2089.4559,0.002432288,1254.053545,4.948959303,140621.1884,2.90241E-05,2.49774E-07,0.001225328,0.079860664,0.385674835,6261.948219,9.924193142
1_ 07b01604__ mc-45-3,1, 07b01604_, mc-45-3,161,1558,1136,16,562,0.001165,1.49177,0.000695,62.465987,93.184909,72.470598,9.606178,38.922478,11.615552,16.886251,8.178878,12.600034,5.566469,1.861921,2.30498,1.340175,5.751619,2491,0.394833,0.002849071,27.50710079,0.785912218,63.83179174,0.20434627,163.8656092,227.8200662,5.71247719,8.819391877,0.000873536,3.455243518,-0.16857612,0.889415221,2.843246553,112.4758007,1.016428218,0.402806989,0.889778379,1.642029528,0.035343646,0.750585057,0.848913814,0.020223848,611.0587452,0.015668992,573.3803313,0.086304126,803.5325475,0.000929624,4.43361E-06,0.560139349,25240.77368,0.015575604,0.295994137,0.126806979,0.010880861,1426.234734,0.00464757,851.4871686,191.9505477,3857182.152,1.48926E-06,3.41568E-07,0.000159549,0.03422265,2.775291685,7155.209523,2.891680272
